GENUS	SPECIES	SUBSPECIES	REFERENCE	STATUS	AUTHORS	REMARKS	RISK_GRP	TYPE_STRAINS	RECORD_NO	RECORD_LNK
Achromobacter	xylosoxidans	denitrificans	48:1083	"comb. nov. (VL), homotypic syn."	(Rüger and Tan 1983) Yabuuchi et al. 1998		2	"ATCC 15173, DSM 30026, NCTC 8582, CCUG 407, CIP 77.15, IFO 15125, JCM 5490, LMG 1231"	772567	772551
Achromobacter	xylosoxidans	xylosoxidans	36:282*	"subsp. nov. (VP), homotypic syn."	(ex Yabuuchi and Ohyama 1971) Yabuuchi et al. 1998		2	"ATCC 27061, DSM 10346, DSM 2402, CCUG 12689, CIP 71.32, DSMZ 10346, DSMZ 2402, IFO 15126, JCM 9659, LMG 1863, NBRC 15126, NCTC 10807, NRRL B-4082, strain Hugh 2838, strain KM 543, Yabuuchi KM 543"	772568	772566
Achromobacter	xylosoxidans		31:477*	sp. nov. (VP)	(ex Yabuuchi and Ohyama 1971) Yabuuchi and Yano 1981 emend. Yabuuchi et al. 1998		2	"ATCC 27061, CCUG 12689, CIP 71.32, DSMZ 10346, DSMZ 2402, IFO 15126, JCM 9659, LMG 1863, NBRC 15126, NCTC 10807, NRRL B-4082, strain Hugh 2838, strain KM 543, Yabuuchi KM 543"	772566	
Achromobacter			31:477*	gen. nov. (VP)	Yabuuchi and Yano 1981 emend. Yabuuchi et al. 1998				515003	
Acidaminobacter	hydrogenoformans		35:223	sp. nov. (VL)	Stams and Hansen 1985		1	"DSM 2784, glu 65, CIP 106102"	772570	
Acidaminobacter			35:223	gen. nov. (VL)	Stams and Hansen 1985				515005	
Acidaminococcus	fermentans		30:225	species (AL)	Rogosa 1969 emend. Cook et al. 1994	[DSMZ] emend. description: IJSB 44:577*	"2, ht"	"ATCC 25085, DSM 20731, CCUG 9996, CIP 106432, strain VR4"	772571	
Acidaminococcus	intestini		57:2314*	sp. nov. (VP)	Jumas-Bilak et al. 2007		2	"ADV 255.99, AIP 283.01, CIP 108586, CCUG 50930, DSM 21505"	786784	
Acidaminococcus			30:225	genus (AL)	Rogosa 1969 emend. Cook et al. 1994 emend. Jumas-Bilak et al. 2007	[DSMZ] emend. description: IJSB 44:577* and IJSEM 57:2318*			515006	
Acidianus	ambivalens		46:836	comb. nov. (VL)	(Zillig and Böck 1987) Fuchs et al. 1996		1	"DSM 3772, Lei 10, CIP 104912, JCM 9191"	772572	
Acidianus	brierleyi		36:559*	comb. nov. (VP)	(Zillig et al. 1980) Segerer et al. 1986		1	"DSM 1651, IFO 15269, JCM 8954, NBRC 15269"	772573	
Acidianus	infernus		36:559*	sp. nov. (VP)	Segerer et al. 1986		1	"DSM 3191, So4a, IFO 15270, JCM 8955, NBRC 15270"	772574	
Acidianus	sulfidivorans		57:1418*	sp. nov. (VP)	Plumb et al. 2007		1	"JP7, DSM 18786, JCM 13667"	785735	
Acidianus			36:559*	gen. nov. (VP)	Segerer et al. 1986 emend. Plumb et al. 2007				516964	
Acidibacter	ferrireducens		67:1	sp. nov. (VL)	Falagán and Johnson 2017			"NCCB 100460, DSM 27237, MCF85"	794262	
Acidibacter			67:1	gen. nov. (VL)	Falagán and Johnson 2017				518968	
Acidicaldus	organivorans		56:1459	sp. nov. (VL)	Johnson et al. 2006	[IJSEM] The epithet has been corrected on validation according to Rule 61.	1	"Y008, DSM 16953, ATCC BAA-1105"	785242	
Acidicaldus	organivorus		56:1459	orthographically incorrect name	Johnson et al. 2006		1	"ATCC BAA-1105, DSM 16953, Y008"	785888	785242
Acidicaldus			56:1459	gen. nov. (VL)	Johnson et al. 2006	"[IJSEM] The gender of the genus name Acidicaldus is not given in the effective publication. According to Rule 65(2), Acidicaldus is in the masculine gender."			517393	
Acidicapsa	acidiphila		67:2075	sp. nov. (VL)	Falagán et al. 2017			"MCF10, DSM 29819, NCCB 100576"	795019	
Acidicapsa	acidisoli		67:862*	sp. nov. (VP)	Matsuo et al. 2017			"SK-11, DSM 100508, NBRC 111227"	795185	
Acidicapsa	borealis		62:1512*	sp. nov. (VP)	Kulichevskaya et al. 2012		1	"KA1, DSM 23886, LMG 25897, VKM B-2678"	789968	
Acidicapsa	dinghuensis		68:2364*	sp. nov. (VP)	Ou-Yang et al. 2018			"4GSKX, CGMCC 1.15449, LMG 29213"	797804	
Acidicapsa	ferrireducens		67:2075	sp. nov. (VL)	Falagán et al. 2017			"MCF9, DSM 28997, NCCB 100575"	795018	
Acidicapsa	ligni		62:1512*	sp. nov. (VP)	Kulichevskaya et al. 2012		1	"WH120, LMG 26244, VKM B-2677, NCCB 100371, DSM 25248"	789969	
Acidicapsa			62:1512*	gen. nov. (VP)	Kulichevskaya et al. 2012 emend. Falagán et al. 2017				518217	
Acidiferrobacter	thiooxydans		61:2563	sp. nov. (VL)	Hallberg et al. 2011		1	"DSM 2392, JCM 17358, m-1"	789099	
Acidiferrobacter			61:2563	gen. nov. (VL)	Hallberg et al. 2011				518069	
Acidihalobacter	aeolianus		69:1557*	sp. nov. (VP)	Khaleque et al. 2019			"DSM 14174, JCM 32253, V6"	800857	
Acidihalobacter	ferrooxydans		69:1557*	sp. nov. (VP)	Khaleque et al. 2019			"DSM 14175, JCM 32254, V8"	800856	
Acidihalobacter	prosperus		65:3641*	sp. nov. (VP)	Cárdenas et al. 2015			"DSM 5130, JCM 30709"	793279	
Acidihalobacter			65:3641*	gen. nov. (VP)	Cárdenas et al. 2015				515007	
Acidilobus	aceticus		50:2001*	sp. nov. (VP)	Prokofeva et al. 2000		1	"1904, DSM 11585, ATCC BAA-268, JCM 11320"	772577	
Acidilobus	saccharovorans		59:3116*	sp. nov. (VP)	Prokofeva et al. 2009		1	"345-15, DSM 16705, VKM B-2471"	772592	
Acidilobus			50:2001*	gen. nov. (VP)	Prokofeva et al. 2000 emend. Prokofeva et al. 2009	[DSMZ] emended description: IJSEM 59:3120/3121*			515008	
Acidimethylosilex			450:874	gen. nov. (NVP)	Pol et al. 2007				521818	
Acidimicrobium	ferrooxidans		46:1189	sp. nov. (VL)	Clark and Norris 1996 emend. Nouioui et al. 2018		1	"DSM 10331, ICP, JCM 15462, NBRC 103882"	772578	
Acidimicrobium			46:1189	gen. nov. (VL)	Clark and Norris 1996				515009	
Acidiphilium	acidophilum		48:1389*	comb. nov. (VP)	(Harrison 1983) Hiraishi et al. 1998		1	"ATCC 27807, DSM 700"	772579	
Acidiphilium	aminilyticum		44:182	sp. nov. (VL)	Kishimoto et al. 1994	[DSMZ] nom. corrig.: IJSB 48:1073*; <I>Acidiphilium aminolytica</I> (sic)	1	"101, ATCC 51361, DSM 11237, JCM 8796"	772580	772591
Acidiphilium	aminolytica		44:182	orthographically incorrect name	Kishimoto et al. 1994	[DSMZ] nom. corrig. IJSB 48:1073*	1	"101, ATCC 51361, DSM 11237, JCM 8796"	783266	772591
Acidiphilium	angustum		36:197*	sp. nov. (VP)	Wichlacz et al. 1986		1	"ATCC 35903, KLB, NCCB 86036"	783267	
Acidiphilium	cryptum		31:327*	sp. nov. (VP)	Harrison 1981		1	"ATCC 33463, DSM 2389, Lhet2, IFO 14242, JCM 21277, NBRC 14242"	772581	
Acidiphilium	iwatense		65:42*	sp. nov. (VP)	Okamura et al. 2015			"MS8, NBRC 107608, KCTC 23505"	792431	
Acidiphilium	multivorum		45:197	sp. nov. (VL)	Wakao et al. 1995		1	"AIU 301, DSM 11245, JCM 8867, NBRC 100785, NBRC 100883"	772582	
Acidiphilium	organovorum		36:139*	sp. nov. (VP)	Lobos et al. 1986		1	"ATCC 43141, NCCB 86037"	783270	
Acidiphilium	rubrum		36:197*	sp. nov. (VP)	Wichlacz et al. 1986		1	"ATCC 35905, OP"	783271	
Acidiphilium			31:327*	gen. nov. (VP)	Harrison 1981 emend. Okamura et al. 2015	[DSMZ] emend. description: Syst. Appl. Microbiol. 18:90 (1995) and IJSEM 65:46*			515010	
Acidipila	dinghuensis		66:76*	sp. nov. (VP)	Jiang et al. 2016			"DHOF10, CGMCC 1.13007, KCTC 42631, DSM 103429"	793733	
Acidipila	rosea		65:2777	sp. nov. (VL)	Okamura et al. 2015			"AP8, KCTC 23427, NBRC 107607, DSM 103428, AP8; NBRC 107607; KCTC 23427"	793213	
Acidipila			65:2777	gen. nov. (VL)	Okamura et al. 2015	[DSMZ] subdivision I of the phylum <i>Acidobacteria</i>			518785	
Acidiplasma	aeolicum		59:2815*	sp. nov. (VP)	Golyshina et al. 2009		1	"V, DSM 18409, JCM 14615"	772583	
Acidiplasma	cupricumulans		59:2815*	comb. nov. (VP)	(Hawkes et al. 2008) Golyshina et al. 2009		1	"BH2, DSM 16651, JCM 13668"	788161	
Acidiplasma			59:2815*	gen. nov. (VP)	Golyshina et al. 2009				515011	
Acidipropionibacterium	acidipropionici		9:2007	comb. nov. (VP)	(Orla-Jensen 1909) Scholz and Kilian 2016 emend. Nouioui et al. 2018		1	"ATCC 25562, CIP 103025, DSM 4900"	794760	
Acidipropionibacterium	damnosum		66:4422*	comb. nov. (VP)	(Lucena-Padrós et al. 2014) Scholz and Kilian 2016			"IGBL13, CECT 8062, DSM 25450"	794762	
Acidipropionibacterium	jensenii		9:2007	comb. nov. (VP)	(van Niel 1928) Scholz and Kilian 2016 emend. Nouioui et al. 2018		"1, +"	"ATCC 4868, CCUG 48883, CIP 103028, DSM 20535"	794758	
Acidipropionibacterium	microaerophilum		66:4422*	comb. nov. (VP)	(Koussémon et al. 2001) Scholz and Kilian 2016		1	"M5, CNCM I-2360, DSM 13435"	794761	
Acidipropionibacterium	olivae		66:4422*	comb. nov. (VP)	(Lucena-Padrós et al. 2014) Scholz and Kilian 2016			"IGBL1, CECT 8061, DSM 25436"	794763	
Acidipropionibacterium	thoenii		9:2007	comb. nov. (VP)	(van Niel 1928) Scholz and Kilian 2016 emend. Nouioui et al. 2018		1	"ATCC 4874, JCM 6437, CCUG 28149, CIP 103029, DSM 20276, HAMBI 247, LMG 16455"	794759	
Acidipropionibacterium	virtanenii		68:3175*	sp. nov. (VP)	Deptula et al. 2018			"DSM 106790, JS278, VTT E-113202"	797887	
Acidipropionibacterium			66:4422*	gen. nov. (VP)	Scholz and Kilian 2016				519071	
Acidisoma	sibiricum		59:2283*	sp. nov. (VP)	Belova et al. 2009		1	"TPB606, DSM 21000, VKM B-2487"	787098	
Acidisoma	tundrae		59:2283*	sp. nov. (VP)	Belova et al. 2009		1	"WM1, DSM 19999, VKM B-2488"	787097	
Acidisoma			59:2283*	gen. nov. (VP)	Belova et al. 2009				517899	
Acidisphaera	rubrifaciens		50:1539*	sp. nov. (VP)	Hiraishi et al. 2000		1	"HS-AP3, JCM 10600, DSM 16009"	783272	
Acidisphaera			50:1539*	gen. nov. (VP)	Hiraishi et al. 2000				517163	
Aciditerrimonas	ferrireducens		61:1281*	sp. nov. (VP)	Itoh et al. 2011		1	"IC-180, DSM 45281, JCM 15389"	789251	
Aciditerrimonas			61:1281*	gen. nov. (VP)	Itoh et al. 2011				518093	
Acidithiobacillus	albertensis		50:511*	comb. nov. (VP)	(Bryant et al. 1988) Kelly and Wood 2000		1	"ATCC 35403, DSM 14366"	772585	
Acidithiobacillus	caldus		50:511*	comb. nov. (VP)	(Hallberg and Lindström 1995) Kelly and Wood 2000		1	"ATCC 51756, DSM 8584, KU"	772586	
Acidithiobacillus	ferridurans		63:4018*	sp. nov. (VP)	Hedrich and Johnson 2013		1	"JCM 18981, ATCC 33020, DSM 29468"	791305	
Acidithiobacillus	ferriphilus		66:206*	sp. nov. (VP)	Falagán and Johnson 2016			"M20, DSM 100412, JCM 30830"	793753	
Acidithiobacillus	ferrivorans		60:469	sp. nov. (VL)	Hallberg et al. 2010		1	"NO-37, JCM 15606, DSM 22755"	788326	
Acidithiobacillus	ferrooxidans		50:511*	comb. nov. (VP)	(Temple and Colmer 1951) Kelly and Wood 2000		1	"ATCC 23270, DSM 14882, CIP 104768"	772587	
Acidithiobacillus	thiooxidans		50:511*	comb. nov. (VP)	(Waksman and Joffe 1922) Kelly and Wood 2000		1	"ATCC 19377, DSM 14887, CIP 104597, JCM 3867, NCIMB 8343"	772588	
Acidithiobacillus			50:511*	gen. nov. (VP)	Kelly and Wood 2000 emend. Hallberg et al. 2010				515013	
Acidobacterium	ailaaui		66:5328*	sp. nov. (VP)	Myers and King 2016			"PMMR2, DSM 27394, LMG 28340"	794925	
Acidobacterium	capsulatum		41:456	sp. nov. (VL)	Kishimoto et al. 1991 emend. Pankratov et al. 2012	[DSMZ] emended description: IJSEM 62:436*	1	"161, DSM 11244, JCM 7670, ATCC 51196, IFO 15755, NBRC 15755, strain 161"	772589	
Acidobacterium			41:456	gen. nov. (VL)	Kishimoto et al. 1991				515014	
Acidocella	aluminiidurans		60:764*	sp. nov. (VP)	Kimoto et al. 2010		1	"AL46, NBRC 104303, VTCC-D9-1"	788441	
Acidocella	aminolytica		46:362	comb. nov. (VL)	(Kishimoto et al. 1994) Kishimoto et al. 1996		1	"101, ATCC 51361, DSM 11237, JCM 8796"	772591	
Acidocella	aquatica		67:4773*	sp. nov. (VP)	Okamoto et al. 2017			"Ok2G, NBRC 112502, DSM 104037"	796127	
Acidocella	facilis		46:362	comb. nov. (VL)	(Wichlacz et al. 1986) Kishimoto et al. 1996		1	"ATCC 35904, PW2, NCCB 86038"	783273	
Acidocella			46:362	gen. nov. (VL)	Kishimoto et al. 1996				515016	
Acidomonas	methanolica		54:865*	comb. nov. (VP)	(Uhlig et al. 1986) Urakami et al. 1989 emend. Yamashita et al. 2004	[DSMZ] emended description: IJSEM 54:869*	1	"ATCC 43581, DSM 5432, IMET 10945, MB 58, TK 0705, CCUG 37300, CIP 103167, JCM 6891, LMG 1668, NCCB 89007, NRIC 0498, strain MB 58, strain TK 0705, VKM B-2104"	772593	
Acidomonas			39:50*	gen. nov. (VP)	Urakami et al. 1989 emend. Yamashita et al. 2004	[DSMZ] emended description: IJSEM 54:869*			515018	
Acidothermus	cellulolyticus		36:435*	sp. nov. (VP)	Mohagheghi et al. 1986 emend. Nouioui et al. 2018		1	"11B, ATCC 43068"	772594	
Acidothermus			36:435*	gen. nov. (VP)	Mohagheghi et al. 1986				515019	
Acidovorax	anthurii		50:235*	sp. nov. (VP)	Gardan et al. 2000		"1, p"	"CFBP 3232, DSM 16745, CFPB 3232, CIP 107058"	772595	
Acidovorax	avenae	avenae	42:107*	"comb. nov. (VP), homotypic syn."	(Manns 1909) Willems et al. 1992		"1, p"	"DSM 7227, LMG 2117, NCPPB 1011, CCUG 15838, CFBP 2425, CIP 106500, ICMP 3183, JCM 20985, strain ATCC 19860"	772596	783274
Acidovorax	avenae	cattleyae	42:107*	"comb. nov. (VP), homotypic syn."	(Pavarino 1911) Willems et al. 1992		"1, p"	"NCPPB 961, DSM 17101, ATCC 33619, CCUG 21975, CFBP 2423, CIP 106435, FC-507, IBSBF 209, ICMP 2826, ICPB 30134, LMG 2364"	772597	787824
Acidovorax	avenae	citrulli	42:107*	"comb. nov. (VP), homotypic syn."	(Schaad et al. 1978) Willems et al. 1992		"1, p"	"ATCC 29625, ICMP 7500, DSM 17060, CCUG 17393, CFBP 4459, CIP 106436, FC-247, IBSBF 1851, ICPB 30064, LMG 5376, NCPPB 3679"	772598	787825
Acidovorax	avenae		31:434	comb. nov. (VP)	(Manns 1909) Willems et al. 1992 emend. Schaad et al. 2008		"1, p"	"CCUG 15838, CFBP 2425, CIP 106500, DSM 7227, ICMP 3183, JCM 20985, LMG 2117, NCPPB 1011, strain ATCC 19860"	783274	
Acidovorax	caeni		58:73*	sp. nov. (VP)	Heylen et al. 2008		1	"R-24608, DSM 19327, LMG 24103"	787106	
Acidovorax	cattleyae		59:923	comb. nov. (VL)	(Pavarino 1911) Schaad et al. 2009	"[IJSEM] The culture collection accession numbers ICPB 30134 (PC21) and IBSBF 209 are also cited in the effective publication, but the authors did not provide evidence that the type strain is deposited in these collections."	"1, p"	"ATCC 33619, NCPPB 961, DSM 17101, FC-507, LMG 2364, ICMP 2826, CFBP 2423, CCUG 21975, CIP 106435, IBSBF 209, ICPB 30134"	787824	
Acidovorax	citrulli		59:923	comb. nov. (VL)	(Schaad et al. 1978) Schaad et al. 2009	"[IJSEM] The culture collection accession numbers ICPB 30064 and IBSBF 1851 are also cited in the effective publication, but the authors did not provide evidence that the type strain is deposited in these collections."	"1, p"	"FC-247, ATCC 29625, ICMP 7500, DSM 17060, CCUG 17393, CFBP 4459, CIP 106436, IBSBF 1851, ICPB 30064, LMG 5376, NCPPB 3679"	787825	
Acidovorax	defluvii		49:1325	sp. nov. (VL)	Schulze et al. 1999		1	"BSB411, DSM 12644, CCUG 49021, CIP 106824"	772599	
Acidovorax	delafieldii		40:384*	comb. nov. (VP)	(Davis 1970) Willems et al. 1990		"1, +"	"ATCC 17505, CCUG 1779, DSM 64, LMG 5943, CFBP 2442, CFBP 3609, CIP 103303, DSMZ 64"	772600	
Acidovorax	facilis		40:384*	comb. nov. (VP)	(Schatz and Bovell 1952) Willems et al. 1990		1	"ATCC 11228, CCUG 2113, DSM 649, LMG 2193, CFBP 2441, CFBP 3608, CIP 103302, NRRL B-4274"	772601	
Acidovorax	kalamii		68:1719*	sp. nov. (VP)	Pal et al. 2018			"KCTC 52819, KNDSW-TSA6, MTCC 12652, VTCC-B-910010"	797702	
Acidovorax	konjaci		42:107*	comb. nov. (VP)	(Goto 1983) Willems et al. 1992		"1, p"	"ATCC 33996, DSM 7481, ICMP 7733, K2, LMG 5691, PDDCC 7733, CCUG 17394, CFBP 4460, CIP 106439, JCM 2397, NCPPB 3698"	772603	
Acidovorax	lacteus		67:4291	sp. nov. (VL)	Chun et al. 2017			"M36, JCM 31890, KCTC 52220"	796254	
Acidovorax	monticola		69:5	sp. nov. (VL)	Chaudhary and Kim 2019			"K-4-16, KACC 19171, KEMB 9005-570, NBRC 113141"	798028	
Acidovorax	oryzae		59:923	sp. nov. (VL)	Schaad et al. 2009		"1, p"	"FC-143, ATCC 19882, NCPPB 1392, ICMP 3960, ICPB 30003"	787826	
Acidovorax	radicis		61:2589*	sp. nov. (VP)	Li et al. 2011		1	"N35, DSM 23535, LMG 25767"	789526	
Acidovorax	soli		60:2715*	sp. nov. (VP)	Choi et al. 2010		1	"BL21, JCM 15909, KCTC 22399, DSM 25157"	788914	
Acidovorax	temperans		40:384*	sp. nov. (VP)	Willems et al. 1990		"1, +"	"CCUG 11779, DSM 7270, LMG 7169, ATCC 49665, CCUG 29362, CFBP 3610, CIP 103457"	772607	
Acidovorax	valerianellae		53:795*	sp. nov. (VP)	Gardan et al. 2003		"1, p"	"CFBP 4730, NCPPB 4283, DSM 16619"	772608	
Acidovorax	wautersii		63:2203*	sp. nov. (VP)	Vaneechoutte et al. 2013		"1, +"	"NF 1078, CCUG 62584, LMG 26971, DSM 27981"	790829	
Acidovorax			40:384*	gen. nov. (VP)	Willems et al. 1990 emend. Willems et al. 1992				515020	
Acinetobacter	albensis		65:3905*	sp. nov. (VP)	Krizova et al. 2015			"ANC 4874, CCUG 67281, CCM 8611"	793499	
Acinetobacter	apis		64:3603	sp. nov. (VL)	Kim et al. 2014			"HYN18, JCM 18575, KACC 16906"	792253	
Acinetobacter	baumannii		36:228*	sp. nov. (VP)	Bouvet and Grimont 1986		2	"ATCC 19606, CIP 70.34, DSM 30007, CCUG 19096, DSM 6974, JCM 6841, LMG 1041, NCCB 85021, NCTC 12156"	772610	
Acinetobacter	baylyi		53:953*	sp. nov. (VP)	Carr et al. 2003		1	"B2, CIP 107474, DSM 14961"	772611	
Acinetobacter	beijerinckii		59:118*	sp. nov. (VP)	Nemec et al. 2009		"2, ht"	"58a, CCUG 51249, CCM 7266, LUH 4759, NIPH 838, DSM 22901"	787668	
Acinetobacter	bereziniae		60:896*	sp. nov. (VP)	Nemec et al. 2010		"2, ht"	"LMG 1003, CIP 70.12, ATCC 17924, DSM 25435, 69, NIPH 521"	788443	
Acinetobacter	bohemicus		65:1	sp. nov. (VL)	Krizova et al. 2015	"[IJSEM] The effective publication states that the type strain was also deposited as CIP 110496, but no documentation was supplied."		"ANC 3994, CIP 110496, CCUG 63842, CCM 8462, DSM 102855"	792450	
Acinetobacter	boissieri		63:1532*	sp. nov. (VP)	Álvarez-Pérez et al. 2013		1	"SAP 284.1, CECT 8128, LMG 26959, DSM 29976"	790644	
Acinetobacter	bouvetii		53:953*	sp. nov. (VP)	Carr et al. 2003		1	"4B02, CIP 107468, DSM 14964, CCUG 50766"	772612	
Acinetobacter	brisouii		61:1499	sp. nov. (VL)	Anandham et al. 2011		1	"5YN5-8, KACC 11602, DSM 18516"	785346	
Acinetobacter	calcoaceticus		36:228*	comb. nov. (VP)	(Beijerinck 1911) Baumann et al. 1968 emend. Bouvet and Grimont 1986		2	"ATCC 23055, CIP 81.08, DSM 30006, CAIM 17, CCUG 12804, DSMZ 30006, JCM 6842, LMG 1046, NCCB 22016, NCTC 12983, strain ATCC 23055"	772613	
Acinetobacter	celticus		66:5392*	sp. nov. (VP)	Radolfova-Krizova et al. 2016			"ANC 4603, CCM 8700, CCUG 69239, CNCTC 7549"	794966	
Acinetobacter	colistiniresistens		67:2134*	sp. nov. (VP)	Nemec et al. 2017			"NIPH 2036, CCM 8641, CIP 110478, CCUG 67966, CNCTC 7573, DSM 107593"	795535	
Acinetobacter	courvalinii		66:1673*	sp. nov. (VP)	Nemec et al. 2016	[DSMZ] <i>Acinetobacter courvalinii</i> Nemec et al. 2016 comprises strains that were previously classified as genomic species 14 <i>sensu</i> Bouvet and Jeanjean		"ANC 3623, CCUG 67960, CIP 110480, CCM 8635"	794035	
Acinetobacter	defluvii		67:1709*	sp. nov. (VP)	Hu et al. 2017			"WCHA30, CCTCC AB 2016203, GDMCC 1.1101, KCTC 52503, DSM 107594"	795456	
Acinetobacter	dijkshoorniae		66:4105*	"sp. nov. (VP), heterotypic syn."	Cosgaya et al. 2016			"JVAP01, CECT 9134, LMG 29605"	794693	794598
Acinetobacter	dispersus		66:1673*	sp. nov. (VP)	Nemec et al. 2016	[DSMZ] <i>Acinetobacter dispersus</i> Nemec et al. 2016 comprises strains that were previously classified as genomic species 17		"ANC 4105, CCUG 67961, CIP 110500, CCM 8636"	794036	
Acinetobacter	equi		66:881*	sp. nov. (VP)	Poppel et al. 2016			"114, DSM 27228, CCUG 65204"	793856	
Acinetobacter	gandensis		64:4007*	sp. nov. (VP)	Smet et al. 2014			"UG 60467, ANC 4275, LMG 27960, DSM 28097"	792373	
Acinetobacter	gerneri		53:953*	sp. nov. (VP)	Carr et al. 2003		1	"9A01, CIP 107464, DSM 14967"	772616	
Acinetobacter	grimontii		53:953*	"sp. nov. (VP), heterotypic syn."	Carr et al. 2003	[DSMZ] later synonym of <I>Acinetobacter junii</I>	2	"17A04, CIP 107470, DSM 14968, CCUG 50767"	772617	772620
Acinetobacter	guangdongensis		64:3417*	"sp. nov. (VP), heterotypic syn."	Feng et al. 2014	[DSMZ] synonymy: IJSEM 67:4081*	1	"1NM-4, GIMCC 1.656, CCTCC AB 2014199, KCTC 42012, DSM 100979"	792223	790312
Acinetobacter	guillouiae		60:896*	sp. nov. (VP)	Nemec et al. 2010		"2, ht"	"LMG 988, CIP 63.46, ATCC 11171, CCUG 2491, DSM 590, 73, NIPH 522"	788442	
Acinetobacter	gyllenbergii		59:118*	sp. nov. (VP)	Nemec et al. 2009		2	"1271, CCUG 51248, CCM 7267, NIPH 2150, RUH 422, DSM 22705, strain 1271"	787669	
Acinetobacter	haemolyticus		36:228*	sp. nov. (VP)	(ex Stenzel and Mannheim 1963) Bouvet and Grimont 1986		2	"ATCC 17906, CIP 64.3, DSM 6962, B40, CCUG 888, LMG 996, Mannheim 2446/60, NCCB 85026, NCTC 12155"	772618	
Acinetobacter	halotolerans		67:3140	sp. nov. (VL)	Dahal et al. 2017			"R160, JCM 31009, KACC 18453, KEMB 9005-333"	795767	
Acinetobacter	harbinensis		64:1507*	sp. nov. (VP)	Li et al. 2014		1	"HITLi 7, CGMCC 1.12528, KCTC 32411, DSM 100418"	791822	
Acinetobacter	indicus		62:2883*	sp. nov. (VP)	Malhotra et al. 2012		1	"A648, CCM 7832, DSM 25388"	790312	
Acinetobacter	johnsonii		36:228*	sp. nov. (VP)	Bouvet and Grimont 1986		2	"ATCC 17909, CIP 64.6, DSM 6963, B8, CCUG 19095, HAMBI 1969, HAMBI 1971, LMG 999, Mannheim 3865/60, NCIMB 12460, NCTC 12154"	772619	
Acinetobacter	junii		36:228*	sp. nov. (VP)	Bouvet and Grimont 1986		2	"64.5, ATCC 17908, DSM 6964, 2723/59, NCTC 12153, LMG 998, CCUG 889, CIP 64.5, B10, Mannheim 2723/59"	772620	
Acinetobacter	kookii		63:4402*	sp. nov. (VP)	Choi et al. 2013		1	"11-0202, KCTC 32033, JCM 18512, DSM 29071"	791314	
Acinetobacter	lactucae		66:3566*	sp. nov. (VP)	Rooney et al. 2016			"NRRL B-41902, CCUG 68785"	794598	
Acinetobacter	larvae		67:806*	sp. nov. (VP)	Liu et al. 2017			"BRTC-1, ACCC 19936, JCM 31367"	795207	
Acinetobacter	lwoffii		42:159	comb. nov. (VP)	(Audureau 1940) Brisou and Prévot 1954 emend. Nemec et al. 2019		"2, TA"	"ATCC 15309, CIP 644.10, DSM 2403, IMET 10416, NCTC 5866, CCUG 33984, CIP 64.10, DSMZ 2403, JCM 6840, LMG 1029, NCAIM B.01101, NCCB 73001, strain ATCC 15309"	772622	
Acinetobacter	modestus		66:1673*	sp. nov. (VP)	Nemec et al. 2016			"NIPH 236, CCUG 67964, CIP 110444, CCM 8639"	794039	
Acinetobacter	nectaris		63:1532*	sp. nov. (VP)	Álvarez-Pérez et al. 2013		1	"SAP 763.2, CECT 8127, LMG 26958, DSM 29975"	790645	
Acinetobacter	nosocomialis		61:1499	sp. nov. (VL)	Nemec et al. 2011	"[IJSEM] The culture collection accession numbers RUH 2376 and NIPH 2119 are also cited in the effective publication, but the authors did not provide evidence that the type strain is deposited in these collections."	2	"LMG 10619, CCM 7791, RUH 2376, NIPH 2119, DSM 102856"	789231	
Acinetobacter	pakistanensis		65:1	"sp. nov. (VL), heterotypic syn."	Abbas et al. 2015	[DSMZ] synonymy: IJSEM 66:5616*		"NCCP-644, JCM 18977, LMG 28467, KCTC 42081, DSM 100419"	792451	792450
Acinetobacter	parvus		53:1563*	sp. nov. (VP)	Nemec et al. 2003		2	"CCM 7030, LMG 21765, LUH 4616, NIPH 384, DSM 16617, CCUG 48800"	772624	
Acinetobacter	piscicola		68:905*	sp. nov. (VP)	Liu et al. 2018			"CICC 24241, JCM 32101, KCTC 62134, LW15, MCCC 1K03337"	797570	
Acinetobacter	pittii		61:1499	sp. nov. (VL)	Nemec et al. 2011	"[IJSEM] The culture collection accession numbers ATCC 19004, RUH 2206 and NIPH 519 are also cited in the effective publication, but the authors did not provide evidence that the type strain is deposited in these collections."	2	"LMG 1035, CIP 70.29, ATCC 19004, RUH 2206, NIPH 519, DSM 25618"	789232	
Acinetobacter	populi		65:4461*	sp. nov. (VP)	Li et al. 2015			"PBJ7, CFCC 11170, KCTC 42272"	793560	
Acinetobacter	pragensis		66:3897*	sp. nov. (VP)	Radolfova-Krizova et al. 2016			"ANC 4149, CCM 8637, CCUG 67962, CNCTC 7530"	794674	
